,product,title,rating,body
10,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Masterpiece.,5.0,"I’ve been a photographer for over 30 years. This small camera body is an absolute powerhouse and is perfect for travel and can do everything that the larger Sony bodies can do. Great image quality in a lightweight and diminutive package.  A lot of people whine about not having enough buttons and dials, and as with any new piece of equipment, it’s up to the user to train themselves around it. I can’t find any faults with this setup at all, including the menus. Took me 15 minutes to figure it all out."
11,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),"Best Camera for $2,000",5.0,"The Sony Alpha 7c is by far the best camera I have ever owned.I love the retro style and duo color tone of Silver and black on the version I purchased. When it comes to photos, this camera has very precise colors and very good focus.I used to use a different brand and let me tell you, one of my pet peeves is when I hold down the shutter button and take multiple photos in quick succession, the other brand camera says please wait, and I cannot use the camera until it processes those images. Not this Sony! it has its own processing in the background, and just makes a queue, so you can continue to snap photos, and when you take a break, it just quickly copies them to the card! Absolutely amazing!I have not had the chance to test the microphone quality in a good setting, but from the little that I have tested it, this blows any other built-in camera on any other camera out of the water. Easily the best built-in camera I have ever used.The Sony A7c comes with a full-frame sensor which captures more light so you get this amazing depth of field, dynamic range and the detail is absolutely stunning.When you look at this camera compared to other professional cameras you are going to think it is less superior because it is half the size, BUT! do not despair! Sony has now moved into creating magic apparently, as this camera is by far better than its competition in half the size! This camera is so much lighter and smaller than most other cameras of the same quality, which makes this the perfect camera for all occasions!Videos are also very crisp with excellent lighting, and it shoots in 4k! I highly recommend this camera for anyone seeking a blog, YouTube channel, or just love photography!Video tutorial coming soon!"
12,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Awesome sensetivity; not just for lowlight,5.0,"Great camera. Autofocus is fast and as responsive as the sony a7R IV and the a6600. The real benefit over the aps-c lenses is in how the high sensetivity of the sensor lets you shoot. no one seems to mention this in the reviews, but its a lot easier to get a good photo with higher sensetivity because it dramatically increases the range of parameters where you can take a good photo. I like to shoot on manual, but let the camera automatically set the ISO. the exposure compensation dial and high sensetivity make it a lot easier to shoot this way than on either the a6600 or a7r iv. the higher sensetivity lets you decide to use faster shutter speeds and youre less likely to have too little light to use autofocus effectively. sure you lose resolution on an aps-c lens or dont have as high resolution as the a7r iv, but youre still above a 4k image, and the ease of acquiring an image in the moment is amazing."
13,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Exactly what I needed!,4.0,"Throughout the years I’ve owned the a7RII and the a6500 and this camera has combined to become the one camera body to rule them all for my uses. I always loved the size/weight of the a6500 but hated the crop sensor limits especially with available third party lenses. Well now I have a ultra compact FF camera body that is just as portable and discreet as the APS-C lineup of cameras which fits my needs perfectly.I am not a professional photographer or vlogger but just a casual photo hobbyist so this camera might not work for everyone and my views are coming from my level of experience. With that said there is one big thing that annoys me most about this camera vs the a7 lineup and that’s not having a front scroll wheel on the grip (that was stupid…why Sony…WHY?!) and far fewer customizable buttons vs the a6XXX lineup. Had Sony merged those two items into this camera body it would be a 5 star home run. I’m learning to live within the new limited perimeters of the camera itself and adapt to the different layout and lack of customization but it is a different experience than I was used to on both previous camera body setups.Anyway, if you can get passed those shortcomings and want a small body with a FF sensor then this is your only option. The small manual lenses that can be used with a cheap adapter available on eBay are plentiful and ultra cheap (Minolta 55mm f/1.7…..$40 on eBay) and having programmed a custom button for manual focus zoom and using focus peaking you can get excellent pictures that are incredibly sharp wide open with this camera. My general recommendation is for people to not be afraid to use manual focus lenses. Once you get used to them you can be just as fast as the autofocus on a Sony branded lens that is 5-20 times the price.Speaking of autofocus…the eye autofocus and autofocus abilities is the exact same tech as found in the a7SIII camera so it is incredible and according to reviews I’ve watched/read it is much improved over the competing a7III as well."
14,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Best Full-Frame Entry Level Camera Around,5.0,"For years I have been hesitant on joining the full-frame camera team because most full-frame's are so expensive! But then Sony released this bad boy, the Alpha 7C, and I have finally been able to experience a whole new world.I am a video content creator and the a7C has been life changing in just the few short weeks I used it. First, it's so easy to use. I was previously using a dslr camera for videos and I'm actually having an easier time with the settings on this camera. Everything you need is clearly on display and easy to access.Next, the focus on this compact is killer! So fast and you can control it through a variety of ways (ie. auto-focus, manual, face-priority, etc.). Quality you would expect from a bigger and more expensive device. You can easily produce stunning videos and images with the kit lens included.As a creator that will mainly be using the a7C for video, the flip-out screen is the real showstopper. It can easily be flipped and rotated to any way you need to get the perfect shot. Want to record an object? Check. Want to record yourself? Check. Want to record an overhead shot? Check. Want to record your adorable pet around the corner without waking them up from their fourth quarantine nap of the day? Check! The flip-out screen was what sold me to this camera. I won't ever be able to go back to using a camera without a flip-out screen.Also, the ability to record in 4K without a time limit.. bravo Sony!! There have been so many times where I've had to reshoot segments of videos because I ran over the usual 30 minute time limit on other cameras. But this little beast keeps recording until my memory card is full. A greatly welcomed addition for vloggers and unboxing creators.Overall the Sony Alpha 7C is a great camera for those that want to see what full-frame cameras are capable of and/or want to up their content creation game without breaking the bank.I received this product at a discounted price in exchange for my honest opinion."
15,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Great compact travel camera,5.0,"There are many technical reviews on this camera that is better than anything I can say here.  I wanted a camera mainly for video and would like to share how I came to chose the 7c.  There are lots of other choices, but this checks all the important marks that I was looking for.  I started fresh without any prior lens and accessories.  I first evaluated which brand and system of camera I want.  The industry is moving towards larger full frame sensors.  There's Sony, Canon, and Fuji.  I feel that Sony is the leader in product development and innovation.  So I went with them.  I could have bought the 7siii, but the 7c is much much more compact and at this point fits my need.  I could have chosen the a6600, but I think the full frames have better picture, especially in low light.  And is a better upgrade path towards other Sony full frames in the future.  I could have gone with a GH5, but that's a much larger camera with sucky focus and low light performance.  And though I like Canon, they don't have a full frame in this size.  They have better lens selection for sure, but I feel they are not quite as innovative.So for my compact video travel rig, I have the 7c with one set of lens...the Tamron 17-14mm.  For audio I bought the Sony eco-81m shotgun mic.  This mic operates in digital mode, and powers off the 7c battery so no extra cord or battery to worry about.  So far it's been the perfect system for me.  I do have larger hands so the grip is just a bit small.  I ended getting the Smallrig cage. I was worried this might add bulk to my system, but it fits like a glove and adds no perceivable bulk.  It adds protection as well as gives me a much better grip surface.I love my set up.  It has everything I want in a travel video camera."
16,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Compact full-frame and full-featured travel camera with great build quality and choice of lenses,5.0,"Sony's Alpha series is highly regarded by both professionals and enthusiasts. The 7C is a wonderful new entry in its product portfolio targeted towards vloggers, travel enthusiasts, influencers, or even professionals who would like to have an additional camera handy.It ticks many important boxes - light and well made, 4k video, compact mirrorless, full-frame, enough controls for the serious photographer, and compatibility with Sony's wide selection of E-mount lenses. External microphone and lights can be easily added, and a good quality company tripod should be fine.The form-factor on this is ideal for travel. I am still trying this out, but so far have been very happy with stills and video. This will definitely be my go-to outdoors and travel camera (when travel resumes). Highly recommended.Update 1 - I took the camera on a couple of local trips and love how easy it is to carry around. This is definitely much easier to carry around, both in dimensions and weight, compared to other DSLRs. I tend to shoot more because of this. You still have the full-frame capabilities capturing excellent photos and videos. The a7c is perfectly suited for travel, hiking, and vlogging with great autofocus and continuous eye tracking. The kit lens (28-60) does an adequate job with portrait stills and bokeh shots when traveling light, but thanks to Sony's extensive range of high-quality E-mount lenses I have also paired it with some Sony G Master series lenses for even better photo results. The audio capture is good and it's easy to add an external travel mic for pro results.  Pasr19"
17,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Excellent for its design!,4.0,"Bought this not too long ago and I was a Sony Alpha 7R II user. I believe Sony's design vision came out great. I thought back then that A7R2 will be my camera for a while but as I grow as a photographer, I realized that the weight and the AF system were not my taste anymore. I couldn't really go to APS-C because, the 35mm sensor size simply gives honor to film sizes and I respect that. Imagine, a (relatively) smaller form factor, with full-frame image size capability, enough superb resolution (24MP) for current viewing/display technology (and possibly in the coming years later) and competitive color science. All packed in A7C. Not to mention, great battery life. The price could've been cheaper, for all the compromises done. Lesser buttons? Not a big deal; loss of quality of life I suppose. One can always master their gear and be faster in changing settings than anyone else, no matter how less of buttons there are. In note of color science, I shoot RAW so it is irrelevant to me. If I want to better color, I'll work the image in post processing. I'd say Sony Alpha 7C is Excellent for its design! But in the end of the day, only yourself can decide which to purchase; you have to be sure how is it going to be used for anyway."
18,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Not impressed,2.0,This is a wonderfully adequate camera.  The kit lens feels cheap and plastic.  The body is better.  I have found the A7iii a better buy.  The camera really does not have a small camera feel.  Nothing really impressive for the money.
19,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),"Nice smaller & lighter, great for travel and day trips",4.0,"The Sony Alpha 7C takes great crisp clear photos & video.  I love the smaller size, it makes it so much easier for making videos.  The smaller size also makes it easier to use on smaller tripods like I use for my unboxing videos, so I can get close up.  Since it is also lighter it will make it easier to use on a hand held device for my outdoor videos opposed to the large DSLR I have tried to use.  I am really impressed with the quality and ease of use of this Sony Alpha 7C.  I am also in love with being able to change out the lenses, that makes it so versatile for the different types of videos that I make.  Anything from content creating to my own personal family fun videos & cooking videos.  It is a great little camera and very versatile.  I can't wait to get a couple more lenses and really do more with it.  I think the Sony Alpha 7C is going to make a great travel camera as well.  It will be easier to pack and carry in my bag instead of having to carry an extra bag with my larger heavy DSLR."
20,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Small and mighty! Amazing full frame camera,5.0,"Wow I feel like I am emerging from the Stone Age! This camera has amazing features and makes taking amazing shots and videos a breeze. I had heard a lot about the Sony mirrorless cameras but hadn’t had a chance to try one out but with the release of the A7c it was the perfect balance of price and features that I had to go for it! The real time tracking autofocus system is truly amazing and very fast allowing for fast capture of clear shots. I also really liked the 4K video recording and the inputs for a mic and headphones allowing clean audio recording with the video. This would be a great camera for anybody looking to take amazing photos and videos on the go. The size is great for travel it is almost pocketable and the kit lens has a great range. The collapsable zoom lens helped keep the form factor small and balanced with the size of the camera. I loved the silver and black color scheme for its retro feel but with modern technology. Coming from a APS-C camera, the amount of details and the dynamic range that is captured by this full frame is amazing. I didn’t think it would be that big of a difference but I can really tell the difference it image quality between this full frame and my old APS-C. The bokeh is mind blowing! No portrait mode on a phone can compete, the software makes it very easy to get studio quality results and always gets the subject in focus with the right amount of background blur. I would highly recommend it for any beginner photographer or somebody who travels a lot and wants something that can be tossed into and bag or large jacket pocket. You really can’t beat the size of this camera especially with a full frame lens, it’s almost the same size as the old digital point and shoots we all used to have."
21,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Fantastic little full frame,5.0,It has the full frame image quality that I was after at a smaller size compared to the A7iii. Fantastic battery and great lineup of lenses. I only wish it had the new and improved menu system that the A7siii has.
22,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Great Portable Camera. Lots in a (relatively) small  package,5.0,"This camera is spectacular. I am a casual photography enthusiast. I thought I'd use this camera to shoot more food / cocktail photography but instead I've been using it for portrait and animal photography over the holidays. I've used the video to film fireworks and family time to put the camera to the test in different situations and scenarios. I've tested the camera in motion and in night with mostly stills and briefly used the video.Below is my comprehensive review of the Sony A7CAesthetic and Body: Absolutely beautiful casing with a retro feel. The silver and black feels like I'm shooting on a gorgeous vintage leica with a fuller body, The weight is actually incredible. So light to carry around. I've shot on a DSLR traditionally and am surprised at how much this camera delivers in the size of its body. It's got a great ergonomic grip that allows for stable shooting. Huge Kudos to Sony on the design of the a7c. Some have said that the viewfinder seems small, I disagree. It is perfectly ergonomic and fits the architecture of the camera. The built in level helps retain crispness on the shots.Still photography: Truly remarkable and sharp pictures. I have not used this semi professionally yet and have used it mostly for family gathering over the holidays for enthusiast shooting. The ISO 50 to ISO 204800 give the camera pretty much nightvision. It's insane. The features on the 28-60 lens are sharp and crisp. It also is quite easy to create a lot of bokeh. It does take some getting used to to ""flatten"" your images.Video: shoots at 120FPS makes for Seamless and incredibly smooth filming. Once again that ISO even in incredibly dimly light areas produced flawlessly smooth filming. It's absolutely beautiful. I can't wait to start using this camera more seriously.All in all, this camera is amazing. It has everything I've looked for as a casual enthusiast photographer. I am learning how to use this camera properly, and am so impressed with what I've been able to produce so far with it."
23,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Smallest and lightest Full-frame camera I owned,5.0,"I was lucky to receive as early Christmas gift the A7c basic kit with the FE f/4-5.6 / 28-60mm lens. I previously owned a Sony a230, that I switched for a ""semi-pro"" compact camera from an other brand.First of all, I have to admit, I am highly satisfied with this impressively ""tiny"" full frame camera. What you have to know before buying: It's a E-mount and FE lens are highly recommended (and pretty expensive but worth every penny you invest in it). If you are a vlogger or that photo is your hobby, but you always felt that DSLR are too big or too heavy, go for this piece of mirrorless art.I am very impressed how fast I got used to the new options, and how easy taking decent picture was. The bokeh with the basic lens is pretty ok and I like how the auto mode was very fast and reliable. I do feel that it's a pretty premium entry camera for beginners who wants to make a serious (or not so serious) hobby out of this camera.I use it essentially for my Instagram content or for some other personal/professional projects too. I do miss something from it. Due to its size, one of the control dial is missing. I like to have one on the front of the camera.My lens selection is the following (hobby, dog lover and astrophoto lovers with the basic kit lens set):- The light telephoto option - Sony 70-300 mm, f/4.5-5.6- Astro photo and wide angle: Sony 24 mm, f/1.4I am now feeling that I have to invest in new lenses especially for astrophoto. I will update the review after the next hiking session I will do with my new Sony 24mm f/1.4 ."
24,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),A full frame beauty hidden in a compact body,5.0,"There is a lot to be said about this camera. It has the full-frame goodness incorporated in the form factor of an Aps-c body. That means you are more likely to carry it with you everywhere, especially when traveling. Being a full-frame you have the ability to purchase some really nice Sony lenses, of course, some of them are really big and would make this not as compact. The viewfinder is just not pleasant to use. A compromise when trying to trim everything down. I love the articulating touch screen! If you want to make a 4K video on Youtube this is perfect. If you want to vlog on the go then you might prefer a wider lens but that would make the setup a bit heavier and clunkier. It can be done though. The menu screen does not have touch functionality. When closed you can have the screen facing inwards so as to keep it safe. The menu system is the older version, who knows if they will update to Sony’s newest version. It is missing a couple of dials and buttons: No joystick and most of the buttons will have to be used with your right thumb. It only has 1 SD card slot, a bit of a bummer if you wanted to use it as your main wedding or gig camera. Great autofocus and they were able to pack-in IBIS into the body, impressive for the size. This is really where I was floored, the camera helps you not miss that shot or keeps it from being blurry. Love that! Battery life is awesome. You get weather sealing, just make sure the lenses you purchase have that feature as well. I easily transferred files over to my smartphone via wifi/Bluetooth that the camera offers. Overall, this is a very nice camera for traveling or if you really want and need the articulating touch screen. You are going to have to spend a premium for that though. You are paying for the image quality of a full-frame sensor and the compact size versatility that the other Sony models don't offer. After seeing the images this camera produces, even the JPEGS, you will probably fall in love with it as I did. I added some straight out of camera jpegs. I received this product at a discounted price in exchange for my honest opinion."
